_source_id,managed_objects,alarm_type,probable_cause,perceived_severity,state,created_at,updated_at,closed_at,additional_information
lpu0dk0g,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:00:03.000Z,2025-04-01T00:00:09.000Z,2025-04-01T00:44:40.000Z,
3r30me8f,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:00:05.000Z,,,
2atqyyv3,vdu_cslg.vnfc_cslg5,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,CLEARED,2025-04-01T00:00:08.000Z,2025-04-01T00:00:15.000Z,2025-04-01T00:25:36.000Z,
hc36kof8,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:00:13.000Z,2025-04-01T00:00:37.000Z,2025-04-01T00:23:06.000Z,
y08p0fod,vdu_cssipe.vnfc_cssipe1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:00:17.000Z,,,
in9n6xcj,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:00:24.000Z,,,
bm92h3tv,vdu_cssips.vnfc_cssips10,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:00:25.000Z,2025-04-01T00:00:31.000Z,,
t2d5em2v,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:00:28.000Z,2025-04-01T00:00:37.000Z,2025-04-01T00:10:50.000Z,
qnvqhw06,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:00:28.000Z,2025-04-01T00:01:03.000Z,,
oyr6ccvc,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:00:36.000Z,,,
qvdz4x1z,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:00:40.000Z,2025-04-01T00:01:03.000Z,,
pxnf7c3d,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:00:43.000Z,2025-04-01T00:01:08.000Z,,
emx15z8v,vdu_mtlg.vnfc_mtlg2,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,ACKNOWLEDGED,2025-04-01T00:00:44.000Z,2025-04-01T00:01:31.000Z,,
d4n1u349,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:00:49.000Z,,,
jgzlma5u,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:00:58.000Z,2025-04-01T00:01:47.000Z,,
pmnz1udb,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_LOGIC_DOWN,MINOR,ACTIVE,2025-04-01T00:01:04.000Z,,,
vohsmdyv,vdu_sblg.sbc_register_error_from_core_network_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:01:06.000Z,,,
h811kerp,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,ACTIVE,2025-04-01T00:01:14.000Z,,,
a75uuzpe,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:01:16.000Z,2025-04-01T00:01:34.000Z,2025-04-01T00:04:39.000Z,
vsolmlgs,vdu_sblg.tr_sbcCounterSipPaToREGISTERInc_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:01:16.000Z,2025-04-01T00:01:34.000Z,2025-04-01T00:18:22.000Z,
ifhv1xg1,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,CLEARED,2025-04-01T00:01:17.000Z,2025-04-01T00:01:26.000Z,2025-04-01T00:45:50.000Z,
ww5wfcpk,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,CLEARED,2025-04-01T00:01:24.000Z,2025-04-01T00:01:49.000Z,2025-04-01T00:40:26.000Z,
c3c54wsq,vdu_csdia.vnfc_csdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:01:28.000Z,,,
rfcd6mzs,vdu_sbsipc.vnfc_sbsipc1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:01:36.000Z,,,
1ybwmlun,vdu_mgw.vnfc_mgw1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,CLEARED,2025-04-01T00:09:03.000Z,2025-04-01T00:09:21.000Z,2025-04-01T00:35:59.000Z,
7lxxezdu,vdu_mtdns.vnfc_mtdns3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:09:07.000Z,2025-04-01T00:09:21.000Z,,
nngh8rie,vdu_csdns.vnfc_csdns1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:09:12.000Z,2025-04-01T00:09:49.000Z,,
m1enf313,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:09:13.000Z,2025-04-01T00:09:39.000Z,2025-04-01T00:12:17.000Z,
0qtl3q4n,vdu_cslg.tr_scsfTotalInitialRegisterRequest_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,ACKNOWLEDGED,2025-04-01T00:09:15.000Z,2025-04-01T00:10:08.000Z,,
2ejx5td4,vdu_mtdia.vnfc_mtdia2,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:09:24.000Z,2025-04-01T00:09:35.000Z,2025-04-01T01:05:39.000Z,
8hqmabsi,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:09:25.000Z,,,
fb7r31qw,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACKNOWLEDGED,2025-04-01T00:09:26.000Z,2025-04-01T00:10:21.000Z,,
p1ieixwc,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:09:27.000Z,2025-04-01T00:10:05.000Z,,
pwioxd9c,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:09:34.000Z,2025-04-01T00:09:57.000Z,,
w9ja2m0w,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:09:42.000Z,,,
y9rgez7b,vdu_csdb.vnfc_csdb3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:09:51.000Z,2025-04-01T00:10:20.000Z,2025-04-01T00:22:18.000Z,
o3rbxk5b,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:09:54.000Z,,,
9rr7s20c,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:09:59.000Z,2025-04-01T00:10:14.000Z,2025-04-01T00:36:52.000Z,
kqzfpq06,vdu_sblg.tr_sbcCounterSipPaToREGISTERInc_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:10:08.000Z,,,
s0fb4ype,vdu_mtdia.vnfc_mtdia1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:10:17.000Z,2025-04-01T00:10:45.000Z,,
qnpcenlk,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:10:20.000Z,,,
1zhwy9he,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:10:21.000Z,2025-04-01T00:10:42.000Z,,
mct64z7w,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:10:22.000Z,2025-04-01T00:10:48.000Z,2025-04-01T00:32:41.000Z,
rmuq9e5c,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:10:27.000Z,,,
